"data","UR"
2006-01-15,72.625
2006-01-16,70.0416666666667
2006-01-17,74.6666666666667
2006-01-18,78.9583333333333
2006-01-19,81.4166666666667
2006-01-20,74.7083333333333
2006-01-21,66.9166666666667
2006-01-22,62.4583333333333
2006-01-23,83.2083333333333
2006-01-24,76.4583333333333
2006-01-25,71.8333333333333
2006-01-26,80.125
2006-01-27,92.4583333333333
2006-01-28,84.3333333333333
2006-01-29,91.1666666666667
2006-01-30,85.2083333333333
2006-01-31,83.125
2006-02-01,83.9583333333333
2006-02-02,79.5416666666667
2006-02-03,77.7083333333333
2006-02-04,77.6666666666667
2006-02-05,72.875
2006-02-06,74.625
2006-02-07,81.7083333333333
2006-02-08,87.2916666666667
2006-02-09,86.8333333333333
2006-02-10,94.1666666666667
2006-02-11,95.25
2006-02-12,86.5
2006-02-13,85
2006-02-14,82.9166666666667
2006-02-15,88.0833333333333
2006-02-16,80.6666666666667
2006-02-17,78.4583333333333
2006-02-18,80.2083333333333
2006-02-19,87.75
2006-02-20,79.2916666666667
2006-02-21,77.8333333333333
2006-02-22,70.9583333333333
2006-02-23,73.2916666666667
2006-02-24,75.5416666666667
2006-02-25,72.9583333333333
2006-02-26,67.9166666666667
2006-02-27,79.4583333333333
2006-02-28,79.875
2006-03-01,81.75
2006-03-02,81
2006-03-03,80.0833333333333
2006-03-04,76.3333333333333
2006-03-05,76.2083333333333
2006-03-06,87.9166666666667
2006-03-07,83.6666666666667
2006-03-08,81.7083333333333
2006-03-09,73.4166666666667
2006-03-10,87.4583333333333
2006-03-11,82.6666666666667
2006-03-12,82.2916666666667
2006-03-13,73.4583333333333
2006-03-14,80.5833333333333
2006-03-15,81.7083333333333
2006-03-16,81.5416666666667
2006-03-17,76.5
2006-03-18,82.7916666666667
2006-03-19,81.125
2006-03-20,79.5416666666667
2006-03-21,82.375
2006-03-22,84.2083333333333
2006-03-23,86.125
2006-03-24,75.9166666666667
2006-03-25,84.0416666666667
2006-03-26,88.8333333333333
2006-03-27,87.875
2006-03-28,78.125
2006-03-29,93.625
2006-03-30,88.125
2006-03-31,84.5
2006-04-01,81.1666666666667
2006-04-02,83.125
2006-04-03,82.6666666666667
2006-04-04,80.25
2006-04-05,81.5416666666667
2006-04-06,89.875
2006-04-07,87.2916666666667
2006-04-08,85.5416666666667
2006-04-09,84.625
2006-04-10,77.0833333333333
2006-04-11,72.3333333333333
2006-04-12,74.625
2006-04-13,78.8333333333333
2006-04-14,79.2083333333333
2006-04-15,81.9166666666667
2006-04-16,90.4166666666667
2006-04-17,93.2916666666667
2006-04-18,83.4166666666667
2006-04-19,78
2006-04-20,77.5416666666667
2006-04-21,67.75
2006-04-22,77.9166666666667
2006-04-23,71.7916666666667
2006-04-24,77.6666666666667
2006-04-25,80
2006-04-26,79.125
2006-04-27,80.9583333333333
2006-04-28,79.9583333333333
2006-04-29,80.4166666666667
2006-04-30,77.4583333333333
2006-05-01,75.9583333333333
2006-05-02,90.1666666666667
2006-05-03,72.9583333333333
2006-05-04,76.7916666666667
2006-05-05,83
2006-05-06,82.5833333333333
2006-05-07,82.375
2006-05-08,85.5
2006-05-09,82.2083333333333
2006-05-10,82.5833333333333
2006-05-11,80.7083333333333
2006-05-12,92.25
2006-05-13,82.0416666666667
2006-05-14,82.375
2006-05-15,84.4166666666667
2006-05-16,81.0416666666667
2006-05-17,80.5833333333333
2006-05-18,76.4166666666667
2006-05-19,67.5833333333333
2006-05-20,70.2916666666667
2006-05-21,77.9583333333333
2006-05-22,91.625
2006-05-23,95.2916666666667
2006-05-24,91.7083333333333
2006-05-25,86.2916666666667
2006-05-26,84.1666666666667
2006-05-27,78.6666666666667
2006-05-28,73.1666666666667
2006-05-29,81.7916666666667
2006-05-30,77.9583333333333
2006-05-31,71.875
2006-06-01,81.2083333333333
2006-06-02,80.2083333333333
2006-06-03,79.8333333333333
2006-06-04,75.4583333333333
2006-06-05,79.0416666666667
2006-06-06,83.125
2006-06-07,79
2006-06-08,85
2006-06-09,78.4583333333333
2006-06-10,73.2916666666667
2006-06-11,84.8333333333333
2006-06-12,89.125
2006-06-13,79.6666666666667
2006-06-14,77.375
2006-06-15,72.9166666666667
2006-06-16,90.9166666666667
2006-06-17,85.9583333333333
2006-06-18,83.75
2006-06-19,77.0833333333333
2006-06-20,70.4166666666667
2006-06-21,67.625
2006-06-22,75.4166666666667
2006-06-23,77.7083333333333
2006-06-24,79.5416666666667
2006-06-25,70.7916666666667
2006-06-26,83.9583333333333
2006-06-27,77.375
