"data","Irradiacao"
2005-07-07,7.79459371149676
2005-07-08,9.75524542800317
2005-07-09,10.9197612791819
2005-07-10,13.7546284901068
2005-07-11,13.1073496767837
2005-07-12,14.2757102690477
2005-07-13,15.2274942162076
2005-07-14,14.5081646614206
2005-07-15,15.6799330581625
2005-07-16,15.8341966171564
2005-07-17,13.1483173927262
2005-07-18,7.69002429722493
2005-07-19,6.67365155823306
2005-07-20,7.04259270962468
2005-07-21,12.3045504943306
2005-07-22,10.7051182929469
2005-07-23,10.8585766791076
2005-07-24,8.30499936223359
2005-07-25,8.82339412472575
2005-07-26,16.3776820447273
2005-07-27,5.02264207163332
2005-07-28,14.200465975028
2005-07-29,13.6972233486181
2005-07-30,15.1781248244347
2005-07-31,17.1765865335132
2005-08-01,16.0860337038392
