"EPUs.MP10","m","pblh.m.","ustar.m.s.","VelocVento","DirVento","Insolacao","Irradiacao","Precipitacao","PressaoMED","TempMED","TempMAX","UR"
0,4,984.7,0.14294,4.625,"ENE",6.4,16.0660947929713,0,925.182218287457,19.8041666666667,27,85.625
0,4,1013.9,0.3567,7.58333333333333,"NNE",0,9.53758256969872,1,923.990273392859,20.6375,25,83.7083333333333
0,4,743.28,0.35691,8.41666666666667,"SSE",0,7.13531678935434,2,928.123862543805,15.275,17,90
0,4,1011.7,0.29817,6,"ESE",3.5,11.6868232791205,0.8,928.220623045873,15.4958333333333,19.6,83.4583333333333
0,4,512.47,0.15619,4.08333333333333,"E",0,6.00251881387733,5.9,926.892448304197,15.9083333333333,18.3,89
0,4,621.64,0.067393,3.33333333333333,"SE",0.5,10.3972905547287,0,927.522227766085,17.5791666666667,22.1,87.25
0,4,786.5,0.3286,7.08333333333333,"SSE",1.8,9.56814147337601,2.8,928.776220306551,15.9958333333333,19.4,89.0833333333333
0,5,1031.8,0.31826,6.41666666666667,"SE",1,10.3782368182904,1.1,930.661692566291,15.8833333333333,19.5,83.875
0,5,1167.2,0.27212,5.79166666666667,"E",4.8,12.6742166237987,1.2,930.491828707064,15.8791666666667,20,83.8333333333333
0,5,947.24,0.26284,5.83333333333333,"SE",9.2,16.3033400496902,0,930.520183785595,15.975,21.9,80.4583333333333
0,5,983.5,0.21299,6.33333333333333,"ESE",9.9,17.8473631577262,0,930.91842374235,16.9916666666667,23.9,79.7083333333333
1,5,973.45,0.1289,5.66666666666667,"ENE",9.5,17.6829223284237,0,930.441866858883,17.025,24.8,80.7916666666667
1,5,1413.9,0.18502,5.79166666666667,"ESE",8.3,16.9261451109067,0,928.681458471772,18.1416666666667,25.8,75.7083333333333
1,5,1643.6,0.24383,3.91666666666667,"ESE",8.3,16.4669695797486,0,928.261610723787,18.55,26,71.5
1,5,1623.8,0.14358,5.5,"ESE",7.2,14.8253747338804,0,929.764407182832,18.2166666666667,25.2,78.9583333333333
1,5,1029.7,0.13207,4.54166666666667,"E",1.3,8.01417064041515,0,929.828923860637,18.9875,23.8,82.0833333333333
1,5,1351,0.18786,3.625,"NE",4.4,10.5914880409406,0,928.36828217852,19.6333333333333,26,81.375
1,5,1245.9,0.16407,4.08333333333333,"NE",9.1,16.852721696773,0,928.40520490575,20.4625,28.4,72.125
1,5,1267.2,0.13451,3.375,"C",8.5,15.4382159329517,0,928.005833434278,20.2333333333333,28.8,74.9583333333333
1,5,1409.8,0.17492,5.125,"ENE",8.8,14.8363251579381,0,927.795958471263,21.5458333333333,29,74.5416666666667
1,5,1118.9,0.20784,5.91666666666667,"NE",10.1,16.9580479041297,0,926.681807365845,21.775,29,72.4583333333333
1,5,1260,0.21855,3.5,"NNW",9.9,16.5768103850818,0,926.334496848247,20.85,28.5,73.75
1,5,1202.7,0.29423,4.41666666666667,"E",9.1,15.9025553827451,0,925.348097248862,20.6958333333333,28.6,66.9166666666667
1,5,1232.8,0.26948,2.58333333333333,"NW",2.4,9.57766803454892,0,924.743001542448,21.0041666666667,27.1,70.2916666666667
1,5,1278.5,0.15782,3.33333333333333,"WSW",5.7,13.8977693524427,0,923.207035773034,21.9458333333333,28.8,74.6666666666667
1,5,1545.9,0.34584,3.66666666666667,"SE",7.9,13.4476627128372,0,922.189720318502,20.7958333333333,28,80.7916666666667
1,5,1716.9,0.23524,4.375,"NW",5.1,12.0463981704835,0,922.057025818999,21.9625,28.6,73.6666666666667
1,5,1729.2,0.47016,9.54166666666667,"NW",1.4,7.50067213181731,17.9,920.816559729402,21.1416666666667,26.2,72.2083333333333
0,5,555.35,0.3014,5.58333333333333,"ESE",0,4.27793959448253,4.6,923.713290750132,15.6291666666667,18.2,92.3333333333333
0,5,747.27,0.23163,5.79166666666667,"ESE",2.1,8.00203632722149,0.3,923.498205798939,17.4041666666667,21.4,87.5416666666667
0,5,718.98,0.39361,7.91666666666667,"NNW",0,5.36786429445613,96.3,919.998802710799,18.5958333333333,22,92.0416666666667
0,5,527.15,0.21725,6.54166666666667,"WNW",0,5.14558002640526,53.3,919.795784868274,16.8666666666667,19.6,92.25
0,5,1087,0.24069,3.91666666666667,"ESE",8.3,14.9150867258248,0,928.952351404783,15.6333333333333,21.4,84.4166666666667
0,5,818.67,0.15277,8.33333333333333,"ENE",8.7,15.634767322711,0,931.622096558093,16.5375,23,79.75
0,5,834.31,0.090345,6.75,"NE",7,13.8044537681782,0,931.33398745378,16.6833333333333,23.4,83.4583333333333
0,5,695.89,0.15822,5.375,"NE",9.4,15.6892381968959,0,931.144343821312,17.4541666666667,24.4,82.375
0,5,759.77,0.1258,5.29166666666667,"ESE",7.9,12.6975258692831,0,932.692532182164,19.1958333333333,27.2,81
0,5,768.57,0.20064,6.875,"E",8.2,14.5086406652034,0,932.187452616728,18.9458333333333,25.2,85
0,6,638.03,0.13553,5.66666666666667,"E",6.9,13.5563649601148,0,931.690189903963,19.3875,25.2,83.7916666666667
