"data","m","pblh.m.","ustar.m.s.","VelocVento","DirVento","Insolacao","Irradiacao","Precipitacao","PressaoMED","TempMED","TempMAX","UR","MP10..µg.m3..","O3..µg.m3.","CO..ppm.","MP2.5..µg.m3.","NO2..µg.m3.","SO2..µg.m3.","dias_sem_chuva"
"2006-04-15",4,1146.2,0.044645,4.54166666666667,"NE",1.8,13.4067014707219,0,924.294729133876,20.6333333333333,26.3,81.9166666666667,47.3244047142857,126.375,1.20734126666667,NA,47.5652172,9.09782595,5
"2006-04-16",4,775.61,0.2023,5.20833333333333,"S",0,8.03216631666974,3.9,927.796633201882,18.9125,22,90.4166666666667,26.2659938571429,53.8472222222222,0.908730154444444,NA,28.8173912,6.695652125,0
"2006-04-17",4,651.4,0.37227,8.58333333333333,"SSE",1.3,11.1935365207138,4.7,929.513410887895,16.475,19.9,93.2916666666667,20.2563405714286,34.5515874444444,0.886111111111111,NA,30.6811595,7.17391305,0
"2006-04-18",4,1027.9,0.35245,8.125,"ESE",1.6,8.69567528142518,0.8,928.80449021542,15.5666666666667,18.9,83.4166666666667,24.2638888571429,30.3333333333333,0.875,NA,33.1811595,8.19999994,0
"2006-04-19",4,972.29,0.29565,7.91666666666667,"ESE",8.5,17.0460822801612,0,929.361294448499,16.8041666666667,22.1,78,30.2408496428571,37.2777777777778,0.93325892875,NA,41.5,12.7304348,1
"2006-04-20",4,1353.3,0.13831,6.70833333333333,"ENE",9.7,18.8353930648221,0,928.771613451546,17.6083333333333,23.9,77.5416666666667,34.5727227142857,50.8888888888889,1.12678571125,NA,46.6942031666667,11.9028987,2
"2006-04-21",4,1175.5,0.38777,8.5,"WNW",9,20.3957495719729,0,925.141078801472,19.775,26.6,67.75,38.3557692307692,77.328125,1.26658163285714,NA,50.8434782,8.2869564,3
"2006-04-22",4,880.61,0.26403,6.625,"NW",4.2,12.5676589698862,0,923.853308724549,20.5416666666667,26.8,77.9166666666667,40.6836780833333,55.765625,1.145312495,NA,44.7652174,7.09565222,4
"2006-04-23",4,1085.2,0.23382,4.33333333333333,"WNW",9.2,19.5318076162408,0,925.325360376047,21.3416666666667,28.8,71.7916666666667,55.253916,94.375,2.8491071375,NA,64.6482216,12.87826086,5
"2006-04-24",4,698.33,0.17652,4.875,"SE",9.5,18.6889301784665,0,927.109199153381,19.8041666666667,27.3,77.6666666666667,53.3828551538462,82.796875,2.2875000125,NA,54.7826088,12.20869568,6
"2006-04-25",4,1029.9,0.13787,6.54166666666667,"NE",7.4,15.2273875031711,0,926.936456646458,21.7625,29,80,63.8496056153846,66.234375,1.68015873333333,NA,70.4434784,9.43478254,7
"2006-04-26",4,1574,0.37216,6.70833333333333,"SSE",8.1,16.1105708236678,0.1,925.361611934033,21.3208333333333,28.6,79.125,48.7242332307692,68.21875,1.81752646666667,NA,56.182609,8.79999998,0
"2006-04-27",4,885.13,0.20667,4.875,"SE",7,15.4976442051412,0,926.272052099484,17.9583333333333,23,80.9583333333333,35.4340223846154,45.234375,1,NA,40.3739132,11.12173916,1
